#NAME,#NAME
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
GECO004500,GECO004500
GECO004501,GECO000008
GECO004502,GECO002076
GECO004503,GECO004503
GECO004504,GECO004484
GECO004505,GECO004505
GECO004506,GECO004506
GECO004507,GECO004507
GECO004508,GECO004508
GECO004509,GECO004509
GECO004510,GECO001854
GECO004511,GECO002623
GECO004512,GECO001778
GECO004513,GECO000090
GECO004514,GECO002681
GECO004515,GECO004515
GECO004516,GECO004516
GECO004517,GECO000475
GECO004518,GECO000319
GECO004519,GECO001484
GECO004520,GECO004520
GECO004521,GECO004521
GECO004522,GECO001864
GECO004523,GECO004378
GECO004524,GECO004524
GECO004525,GECO004525
GECO004526,GECO000946
GECO004527,GECO004527
GECO004528,GECO004528
GECO004529,GECO004529
GECO004530,GECO004530
GECO004531,GECO002069
GECO004532,GECO004532
GECO004533,GECO000689
GECO004534,GECO003750
GECO004535,GECO001168
GECO004536,GECO004536
GECO004537,GECO004537
GECO004538,GECO004538
GECO004539,GECO004539
GECO004540,GECO004540
GECO004541,GECO004541
GECO004542,GECO003100
GECO004543,GECO004543
GECO004544,GECO000323
GECO004545,GECO004545
GECO004546,GECO001920
GECO004547,GECO004547
GECO004548,GECO001828
GECO004549,GECO002169
GECO004550,GECO004550
GECO004551,GECO003932
GECO004552,GECO004552
GECO004553,GECO001062
GECO004554,GECO004554
GECO004555,GECO004555
GECO004556,GECO004556
GECO004557,GECO000680
GECO004558,GECO004558
GECO004559,GECO004559
GECO004560,GECO004560
GECO004561,GECO004561
GECO004562,GECO004562
GECO004563,GECO003703
GECO004564,GECO002184
GECO004565,GECO004565
GECO004566,GECO004566
GECO004567,GECO004567
GECO004568,GECO001569
GECO004569,GECO004569
GECO004570,GECO002925
GECO004571,GECO001305
GECO004572,GECO003873
GECO004573,GECO004573
GECO004574,GECO004574
GECO004575,GECO000665
GECO004576,GECO003434
GECO004577,GECO004577
GECO004578,GECO004578
GECO004579,GECO004579
GECO004580,GECO000173
GECO004581,GECO004581
GECO004582,GECO004582
GECO004583,GECO004583
GECO004584,GECO004584
GECO004585,GECO004585
GECO004586,GECO004586
GECO004587,GECO004587
GECO004588,GECO004588
GECO004589,GECO002361
GECO004590,GECO004590
GECO004591,GECO004591
GECO004592,GECO004592
GECO004593,GECO000037
GECO004594,GECO002702
GECO004595,GECO003001
GECO004596,GECO004596
GECO004597,GECO004597
GECO004598,GECO002837
GECO004599,GECO004599
GECO004600,GECO004600
GECO004601,GECO000378
GECO004602,GECO002629
GECO004603,GECO004603
GECO004604,GECO001370
GECO004605,GECO002784
GECO004606,GECO004606
GECO004607,GECO004220
GECO004608,GECO004608
GECO004609,GECO001638
GECO004610,GECO001144
GECO004611,GECO000930
GECO004612,GECO000408
GECO004613,GECO002837
GECO004614,GECO004614
GECO004615,GECO001392
GECO004616,GECO003484
GECO004617,GECO004505
GECO004618,GECO004618
GECO004619,GECO004619
GECO004620,GECO000694
GECO004621,GECO004621
GECO004622,GECO004622
GECO004623,GECO004623
GECO004624,GECO000260
GECO004625,GECO004625
GECO004626,GECO002334
GECO004627,GECO000732
GECO004628,GECO004628
GECO004629,GECO000601
GECO004630,GECO004630
GECO004631,GECO004424
GECO004632,GECO004063
GECO004633,GECO004633
GECO004634,GECO001381
GECO004635,GECO004635
GECO004636,GECO004636
GECO004637,GECO000076
GECO004638,GECO002377
GECO004639,GECO003930
GECO004640,GECO004640
GECO004641,GECO001820
GECO004642,GECO004642
GECO004643,GECO004643
GECO004644,GECO004644
GECO004645,GECO004645
GECO004646,GECO004646
GECO004647,GECO004647
GECO004648,GECO004648
GECO004649,GECO004649
GECO004650,GECO003092
GECO004651,GECO004651
GECO004652,GECO003903
GECO004653,GECO004653
GECO004654,GECO000674
GECO004655,GECO002177
GECO004656,GECO002922
GECO004657,GECO004657
GECO004658,GECO001035
GECO004659,GECO004659
GECO004660,GECO004660
GECO004661,GECO004661
GECO004662,GECO004662
GECO004663,GECO004663
GECO004664,GECO004664
GECO004665,GECO004665
GECO004666,GECO001879
GECO004667,GECO004667
GECO004668,GECO000171
GECO004669,GECO004669
GECO004670,GECO004670
GECO004671,GECO004671
GECO004672,GECO004672
GECO004673,GECO004673
GECO004674,GECO002506
GECO004675,GECO004675
GECO004676,GECO004676
GECO004677,GECO004677
GECO004678,GECO004678
GECO004679,GECO004679
GECO004680,GECO001505
GECO004681,GECO000308
GECO004682,GECO000734
GECO004683,GECO000269
GECO004684,GECO004684
GECO004685,GECO001285
GECO004686,GECO004398
GECO004687,GECO004687
GECO004688,GECO004043
GECO004689,GECO004689
GECO004690,GECO004690
GECO004691,GECO004691
GECO004692,GECO004692
GECO004693,GECO004693
GECO004694,GECO000462
GECO004695,GECO002145
GECO004696,GECO004696
GECO004697,GECO003775
GECO004698,GECO002629
GECO004699,GECO004699
GECO004700,GECO004700
GECO004701,GECO004701
GECO004702,GECO004702
GECO004703,GECO000447
GECO004704,GECO004704
GECO004705,GECO000016
GECO004706,GECO001250
GECO004707,GECO004707
GECO004708,GECO001196
GECO004709,GECO004709
GECO004710,GECO001612
GECO004711,GECO000955
GECO004712,GECO000273
GECO004713,GECO004713
GECO004714,GECO004714
GECO004715,GECO004715
GECO004716,GECO004716
GECO004717,GECO004717
GECO004718,GECO000263
GECO004719,GECO004719
GECO004720,GECO004720
GECO004721,GECO004721
GECO004722,GECO004722
GECO004723,GECO004723
GECO004724,GECO001596
GECO004725,GECO004725
GECO004726,GECO001063
GECO004727,GECO004727
GECO004728,GECO004728
GECO004729,GECO003407
GECO004730,GECO001168
GECO004731,GECO002506
GECO004732,GECO004732
GECO004733,GECO004733
GECO004734,GECO004734
GECO004735,GECO003982
GECO004736,GECO003894
GECO004737,GECO001570
GECO004738,GECO004738
GECO004739,GECO004739
GECO004740,GECO004740
GECO004741,GECO004741
GECO004742,GECO000529
GECO004743,GECO001034
GECO004744,GECO002237
GECO004745,GECO004745
GECO004746,GECO004746
GECO004747,GECO001232
GECO004748,GECO004748
GECO004749,GECO001990
GECO004750,GECO004750
GECO004751,GECO004212
GECO004752,GECO001766
GECO004753,GECO000985
GECO004754,GECO001847
GECO004755,GECO002488
GECO004756,GECO004756
GECO004757,GECO001584
GECO004758,GECO002506
GECO004759,GECO002035
GECO004760,GECO004720
GECO004761,GECO004761
GECO004762,GECO000497
GECO004763,GECO000904
GECO004764,GECO004764
GECO004765,GECO001168
GECO004766,GECO004766
GECO004767,GECO001239
GECO004768,GECO004768
GECO004769,GECO001911
GECO004770,GECO004770
GECO004771,GECO004771
GECO004772,GECO004772
GECO004773,GECO004491
GECO004774,GECO003806
GECO004775,GECO004775
GECO004776,GECO004776
GECO004777,GECO004777
GECO004778,GECO000246
GECO004779,GECO004779
GECO004780,GECO001802
GECO004781,GECO004781
GECO004782,GECO000990
GECO004783,GECO004783
GECO004784,GECO002454
GECO004785,GECO001128
GECO004786,GECO003168
GECO004787,GECO004787
GECO004788,GECO004788
GECO004789,GECO004789
GECO004790,GECO004790
GECO004791,GECO001031
GECO004792,GECO004792
GECO004793,GECO002059
GECO004794,GECO003424
GECO004795,GECO004795
GECO004796,GECO004796
GECO004797,GECO004797
GECO004798,GECO000169
GECO004799,GECO004799
GECO004800,GECO004202
GECO004801,GECO004801
GECO004802,GECO001267
GECO004803,GECO004803
GECO004804,GECO004804
GECO004805,GECO004657
GECO004806,GECO003526
GECO004807,GECO004264
GECO004808,GECO003068
GECO004809,GECO000735
GECO004810,GECO004810
GECO004811,GECO004811
GECO004812,GECO003105
GECO004813,GECO001565
GECO004814,GECO004814
GECO004815,GECO004815
GECO004816,GECO004816
GECO004817,GECO003431
GECO004818,GECO004818
GECO004819,GECO001540
GECO004820,GECO004820
GECO004821,GECO002833
GECO004822,GECO004822
GECO004823,GECO004823
GECO004824,GECO004824
GECO004825,GECO004825
GECO004826,GECO000531
GECO004827,GECO004827
GECO004828,GECO004828
GECO004829,GECO004569
GECO004830,GECO004830
GECO004831,GECO004831
GECO004832,GECO004832
GECO004833,GECO004833
GECO004834,GECO004834
GECO004835,GECO001426
GECO004836,GECO001215
GECO004837,GECO004837
GECO004838,GECO001441
GECO004839,GECO004839
GECO004840,GECO001063
GECO004841,GECO001260
GECO004842,GECO004842
GECO004843,GECO002123
GECO004844,GECO004844
GECO004845,GECO004845
GECO004846,GECO004846
GECO004847,GECO000845
GECO004848,GECO000309
GECO004849,GECO001525
GECO004850,GECO001246
GECO004851,GECO003273
GECO004852,GECO004852
GECO004853,GECO004853
GECO004854,GECO004520
GECO004855,GECO004855
GECO004856,GECO000119
GECO004857,GECO001333
GECO004858,GECO002451
GECO004859,GECO000200
GECO004860,GECO004860
GECO004861,GECO004861
GECO004862,GECO000766
GECO004863,GECO004863
GECO004864,GECO004864
GECO004865,GECO004865
GECO004866,GECO000436
GECO004867,GECO000449
GECO004868,GECO000744
GECO004869,GECO004869
GECO004870,GECO004870
GECO004871,GECO001135
GECO004872,GECO004872
GECO004873,GECO003611
GECO004874,GECO004874
GECO004875,GECO004875
GECO004876,GECO003958
GECO004877,GECO002976
GECO004878,GECO004878
GECO004879,GECO003522
GECO004880,GECO004880
GECO004881,GECO001353
GECO004882,GECO002657
GECO004883,GECO000889
GECO004884,GECO004884
GECO004885,GECO001819
GECO004886,GECO001248
GECO004887,GECO004887
GECO004888,GECO000572
GECO004889,GECO004889
GECO004890,GECO002396
GECO004891,GECO001540
GECO004892,GECO000499
GECO004893,GECO000328
GECO004894,GECO004894
GECO004895,GECO001442
GECO004896,GECO004896
GECO004897,GECO000472
GECO004898,GECO002337
GECO004899,GECO004899
GECO004900,GECO000550
GECO004901,GECO002211
GECO004902,GECO004902
GECO004903,GECO000194
GECO004904,GECO004904
GECO004905,GECO004905
GECO004906,GECO004000
GECO004907,GECO003063
GECO004908,GECO004908
GECO004909,GECO001333
GECO004910,GECO004910
GECO004911,GECO004413
GECO004912,GECO004912
GECO004913,GECO004913
GECO004914,GECO004914
GECO004915,GECO001761
GECO004916,GECO001183
GECO004917,GECO004720
GECO004918,GECO004918
GECO004919,GECO003325
GECO004920,GECO004920
GECO004921,GECO004921
GECO004922,GECO000606
GECO004923,GECO004923
GECO004924,GECO004924
GECO004925,GECO004925
GECO004926,GECO004926
GECO004927,GECO001185
GECO004928,GECO004555
GECO004929,GECO004929
GECO004930,GECO001168
GECO004931,GECO003415
GECO004932,GECO004932
GECO004933,GECO000354
GECO004934,GECO004934
GECO004935,GECO004935
GECO004936,GECO001761
GECO004937,GECO003660
GECO004938,GECO004938
GECO004939,GECO004939
GECO004940,GECO004940
GECO004941,GECO000185
GECO004942,GECO003535
GECO004943,GECO004943
GECO004944,GECO000400
GECO004945,GECO004945
GECO004946,GECO001545
GECO004947,GECO004947
GECO004948,GECO000050
GECO004949,GECO000041
GECO004950,GECO004950
GECO004951,GECO003466
GECO004952,GECO004952
GECO004953,GECO000846
GECO004954,GECO004285
GECO004955,GECO004955
GECO004956,GECO001725
GECO004957,GECO003919
GECO004958,GECO004958
GECO004959,GECO001910
GECO004960,GECO004960
GECO004961,GECO004961
GECO004962,GECO004962
GECO004963,GECO004963
GECO004964,GECO003449
GECO004965,GECO004965
GECO004966,GECO004966
GECO004967,GECO002960
GECO004968,GECO000594
GECO004969,GECO001338
GECO004970,GECO004970
GECO004971,GECO001385
GECO004972,GECO004972
GECO004973,GECO004973
GECO004974,GECO004974
GECO004975,GECO001938
GECO004976,GECO000649
GECO004977,GECO004977
GECO004978,GECO004978
GECO004979,GECO003105
GECO004980,GECO004980
GECO004981,GECO004981
GECO004982,GECO004982
GECO004983,GECO004983
GECO004984,GECO004112
GECO004985,GECO004985
GECO004986,GECO004382
GECO004987,GECO004987
GECO004988,GECO000328
GECO004989,GECO004989
GECO004990,GECO004990
GECO004991,GECO003427
GECO004992,GECO004992
GECO004993,GECO004993
GECO004994,GECO004994
GECO004995,GECO004995
GECO004996,GECO004996
GECO004997,GECO002024
GECO004998,GECO001086
GECO004999,GECO000178
GECO005000,GECO005000
GECO005001,GECO000044
GECO005002,GECO005002
GECO005003,GECO005003
GECO005004,GECO005004
GECO005005,GECO005005
GECO005006,GECO000043
GECO005007,GECO000445
GECO005008,GECO002002
GECO005009,GECO000700
GECO005010,GECO000780
GECO005011,GECO000025
GECO005012,GECO001867
GECO005013,GECO001222
GECO005014,GECO005014
GECO005015,GECO005015
GECO005016,GECO005016
GECO005017,GECO005017
GECO005018,GECO005018
GECO005019,GECO000484
GECO005020,GECO005020
GECO005021,GECO000522
GECO005022,GECO002616
GECO005023,GECO005023
GECO005024,GECO002416
GECO005025,GECO002699
GECO005026,GECO005026
GECO005027,GECO003109
GECO005028,GECO002721
GECO005029,GECO005029
GECO005030,GECO003875
GECO005031,GECO002558
GECO005032,GECO005032
GECO005033,GECO005033
GECO005034,GECO000707
GECO005035,GECO000034
GECO005036,GECO002547
GECO005037,GECO003044
GECO005038,GECO005038
GECO005039,GECO005039
GECO005040,GECO005040
GECO005041,GECO002925
GECO005042,GECO002853
GECO005043,GECO001038
GECO005044,GECO000716
GECO005045,GECO005045
GECO005046,GECO002594
GECO005047,GECO004320
GECO005048,GECO005048
GECO005049,GECO000571
GECO005050,GECO005050
GECO005051,GECO005051
GECO005052,GECO005052
GECO005053,GECO005053
GECO005054,GECO005054
GECO005055,GECO003532
GECO005056,GECO001259
GECO005057,GECO005057
GECO005058,GECO003866
GECO005059,GECO000838
GECO005060,GECO005060
GECO005061,GECO005061
GECO005062,GECO005062
GECO005063,GECO005063
GECO005064,GECO004026
GECO005065,GECO005065
GECO005066,GECO005066
GECO005067,GECO000278
GECO005068,GECO002123
GECO005069,GECO005069
GECO005070,GECO005070
GECO005071,GECO001176
GECO005072,GECO005072
GECO005073,GECO005073
GECO005074,GECO001500
GECO005075,GECO005075
GECO005076,GECO005076
GECO005077,GECO005077
GECO005078,GECO005078
GECO005079,GECO000631
GECO005080,GECO005080
GECO005081,GECO000204
GECO005082,GECO005082
GECO005083,GECO002793
GECO005084,GECO000460
GECO005085,GECO005085
GECO005086,GECO000994
GECO005087,GECO000223
GECO005088,GECO005088
GECO005089,GECO001969
GECO005090,GECO005090
GECO005091,GECO002786
GECO005092,GECO004398
GECO005093,GECO002602
GECO005094,GECO000335
GECO005095,GECO005095
GECO005096,GECO005096
GECO005097,GECO001415
GECO005098,GECO005098
GECO005099,GECO005099
GECO005100,GECO000577
GECO005101,GECO000511
GECO005102,GECO005102
GECO005103,GECO001448
GECO005104,GECO005104
GECO005105,GECO004098
GECO005106,GECO001768
GECO005107,GECO005107
GECO005108,GECO001379
GECO005109,GECO005109
GECO005110,GECO005110
GECO005111,GECO005111
GECO005112,GECO002596
GECO005113,GECO005113
GECO005114,GECO005114
GECO005115,GECO005115
GECO005116,GECO005116
GECO005117,GECO002225
GECO005118,GECO000922
GECO005119,GECO005119
GECO005120,GECO001379
GECO005121,GECO001420
GECO005122,GECO005122
GECO005123,GECO005123
GECO005124,GECO002147
GECO005125,GECO005125
GECO005126,GECO005126
GECO005127,GECO005127
GECO005128,GECO005128
GECO005129,GECO005129
GECO005130,GECO005130
GECO005131,GECO005131
GECO005132,GECO005132
GECO005133,GECO004537
GECO005134,GECO005134
GECO005135,GECO002421
GECO005136,GECO000407
GECO005137,GECO001880
GECO005138,GECO004025
GECO005139,GECO000003
GECO005140,GECO005140
GECO005141,GECO005141
GECO005142,GECO005142
GECO005143,GECO003017
GECO005144,GECO005144
GECO005145,GECO005145
GECO005146,GECO005146
GECO005147,GECO005147
GECO005148,GECO001536
GECO005149,GECO002659
GECO005150,GECO005150
GECO005151,GECO005151
GECO005152,GECO005152
GECO005153,GECO005153
GECO005154,GECO001480
GECO005155,GECO005155
GECO005156,GECO000743
GECO005157,GECO005157
GECO005158,GECO003163
GECO005159,GECO001266
GECO005160,GECO000840
GECO005161,GECO000556
GECO005162,GECO004026
GECO005163,GECO005163
GECO005164,GECO005164
GECO005165,GECO005165
GECO005166,GECO005166
GECO005167,GECO000034
GECO005168,GECO004987
GECO005169,GECO004427
GECO005170,GECO000309
GECO005171,GECO005171
GECO005172,GECO000745
GECO005173,GECO005173
GECO005174,GECO001464
GECO005175,GECO004676
GECO005176,GECO005176
GECO005177,GECO000845
GECO005178,GECO000088
GECO005179,GECO001223
GECO005180,GECO005180
GECO005181,GECO004887
GECO005182,GECO000454
GECO005183,GECO001548
GECO005184,GECO005184
GECO005185,GECO005185
GECO005186,GECO002142
GECO005187,GECO005187
GECO005188,GECO003852
GECO005189,GECO004507
GECO005190,GECO005190
GECO005191,GECO005191
GECO005192,GECO005192
GECO005193,GECO005193
GECO005194,GECO005194
GECO005195,GECO005195
GECO005196,GECO005196
GECO005197,GECO005197
GECO005198,GECO001599
GECO005199,GECO002217
GECO005200,GECO001816
GECO005201,GECO003557
GECO005202,GECO005202
GECO005203,GECO005203
GECO005204,GECO000750
GECO005205,GECO005205
GECO005206,GECO005206
GECO005207,GECO005207
GECO005208,GECO005208
GECO005209,GECO005209
GECO005210,GECO005210
GECO005211,GECO005211
GECO005212,GECO000149
GECO005213,GECO000273
GECO005214,GECO005214
GECO005215,GECO002875
GECO005216,GECO004000
GECO005217,GECO005217
GECO005218,GECO000570
GECO005219,GECO001569
GECO005220,GECO005220
GECO005221,GECO005017
GECO005222,GECO005222
GECO005223,GECO005223
GECO005224,GECO003765
GECO005225,GECO005225
GECO005226,GECO005226
GECO005227,GECO004112
GECO005228,GECO000539
GECO005229,GECO001100
GECO005230,GECO005230
GECO005231,GECO005231
GECO005232,GECO005232
GECO005233,GECO005233
GECO005234,GECO002614
GECO005235,GECO005235
GECO005236,GECO000211
GECO005237,GECO005039
GECO005238,GECO005238
GECO005239,GECO005239
GECO005240,GECO001880
GECO005241,GECO005241
GECO005242,GECO005242
GECO005243,GECO005243
GECO005244,GECO001693
GECO005245,GECO002440
GECO005246,GECO001320
GECO005247,GECO005247
GECO005248,GECO005248
GECO005249,GECO001577
GECO005250,GECO001309
GECO005251,GECO004465
GECO005252,GECO005252
GECO005253,GECO005253
GECO005254,GECO003608
GECO005255,GECO003732
GECO005256,GECO004061
GECO005257,GECO005257
GECO005258,GECO005258
GECO005259,GECO004049
GECO005260,GECO005260
GECO005261,GECO005261
GECO005262,GECO005262
GECO005263,GECO005263
GECO005264,GECO004651
GECO005265,GECO005265
GECO005266,GECO005266
GECO005267,GECO005267
GECO005268,GECO002425
GECO005269,GECO000790
GECO005270,GECO000720
GECO005271,GECO000955
GECO005272,GECO002017
GECO005273,GECO003588
GECO005274,GECO005274
GECO005275,GECO001168
GECO005276,GECO002611
GECO005277,GECO004348
GECO005278,GECO002334
GECO005279,GECO001396
GECO005280,GECO005280
GECO005281,GECO005281
GECO005282,GECO005282
GECO005283,GECO005283
GECO005284,GECO004628
GECO005285,GECO004098
GECO005286,GECO004119
GECO005287,GECO005287
GECO005288,GECO005288
GECO005289,GECO002377
GECO005290,GECO005290
GECO005291,GECO000987
GECO005292,GECO000313
GECO005293,GECO005293
GECO005294,GECO001007
GECO005295,GECO005295
GECO005296,GECO000408
GECO005297,GECO000075
GECO005298,GECO005298
GECO005299,GECO004628
GECO005300,GECO002498
GECO005301,GECO005301
GECO005302,GECO000560
GECO005303,GECO005303
GECO005304,GECO005304
GECO005305,GECO005305
GECO005306,GECO001531
GECO005307,GECO002938
GECO005308,GECO000011
GECO005309,GECO000585
GECO005310,GECO001596
GECO005311,GECO005311
GECO005312,GECO005312
GECO005313,GECO004289
GECO005314,GECO005314
GECO005315,GECO005315
GECO005316,GECO005316
GECO005317,GECO005317
GECO005318,GECO003431
GECO005319,GECO005319
GECO005320,GECO005320
GECO005321,GECO005321
GECO005322,GECO005322
GECO005323,GECO003446
GECO005324,GECO004231
GECO005325,GECO001664
GECO005326,GECO003340
GECO005327,GECO005327
GECO005328,GECO002219
GECO005329,GECO005329
GECO005330,GECO000654
GECO005331,GECO005331
GECO005332,GECO005332
GECO005333,GECO002146
GECO005334,GECO005334
GECO005335,GECO002969
GECO005336,GECO005336
GECO005337,GECO001123
GECO005338,GECO000625
GECO005339,GECO001500
GECO005340,GECO001532
GECO005341,GECO005341
GECO005342,GECO001787
GECO005343,GECO005343
GECO005344,GECO000666
GECO005345,GECO002983
GECO005346,GECO000183
GECO005347,GECO000307
GECO005348,GECO005348
GECO005349,GECO005349
GECO005350,GECO005350
GECO005351,GECO005351
GECO005352,GECO001596
GECO005353,GECO005353
GECO005354,GECO005242
GECO005355,GECO003012
GECO005356,GECO004476
GECO005357,GECO003254
GECO005358,GECO005358
GECO005359,GECO005359
GECO005360,GECO005360
GECO005361,GECO005361
GECO005362,GECO005362
GECO005363,GECO004547
GECO005364,GECO005364
GECO005365,GECO005365
GECO005366,GECO005366
GECO005367,GECO000035
GECO005368,GECO005368
GECO005369,GECO003018
GECO005370,GECO000618
GECO005371,GECO000392
GECO005372,GECO002202
GECO005373,GECO003579
GECO005374,GECO005374
GECO005375,GECO003968
GECO005376,GECO005376
GECO005377,GECO003983
GECO005378,GECO000008
GECO005379,GECO005379
GECO005380,GECO001054
GECO005381,GECO001226
GECO005382,GECO002778
GECO005383,GECO005383
GECO005384,GECO005384
GECO005385,GECO005385
GECO005386,GECO005386
GECO005387,GECO005387
GECO005388,GECO001474
GECO005389,GECO003218
GECO005390,GECO002110
GECO005391,GECO001715
GECO005392,GECO005301
GECO005393,GECO005393
GECO005394,GECO002224
GECO005395,GECO005395
GECO005396,GECO005396
GECO005397,GECO003663
GECO005398,GECO005398
GECO005399,GECO002777
GECO005400,GECO003667
GECO005401,GECO005401
GECO005402,GECO005402
GECO005403,GECO005403
GECO005404,GECO005404
GECO005405,GECO000116
GECO005406,GECO003547
GECO005407,GECO005407
GECO005408,GECO005408
GECO005409,GECO003934
GECO005410,GECO000557
GECO005411,GECO005411
GECO005412,GECO002436
GECO005413,GECO001812
GECO005414,GECO005414
GECO005415,GECO005415
GECO005416,GECO005416
GECO005417,GECO005417
GECO005418,GECO003742
GECO005419,GECO005419
GECO005420,GECO005420
GECO005421,GECO001441
GECO005422,GECO005422
GECO005423,GECO005423
GECO005424,GECO005424
GECO005425,GECO004000
GECO005426,GECO000968
GECO005427,GECO000252
GECO005428,GECO005428
GECO005429,GECO005429
GECO005430,GECO005430
GECO005431,GECO005431
GECO005432,GECO005432
GECO005433,GECO003860
GECO005434,GECO005266
GECO005435,GECO000241
GECO005436,GECO005436
GECO005437,GECO000872
GECO005438,GECO005438
GECO005439,GECO002784
GECO005440,GECO005348
GECO005441,GECO005441
GECO005442,GECO000242
GECO005443,GECO003139
GECO005444,GECO005444
GECO005445,GECO005445
GECO005446,GECO000336
GECO005447,GECO000271
GECO005448,GECO005448
GECO005449,GECO005449
GECO005450,GECO005450
GECO005451,GECO005451
GECO005452,GECO005452
GECO005453,GECO002127
GECO005454,GECO005454
GECO005455,GECO005455
GECO005456,GECO005456
GECO005457,GECO005457
GECO005458,GECO005458
GECO005459,GECO005459
GECO005460,GECO005460
GECO005461,GECO000636
GECO005462,GECO005462
GECO005463,GECO005463
GECO005464,GECO005464
GECO005465,GECO000326
GECO005466,GECO005466
GECO005467,GECO001240
GECO005468,GECO001423
GECO005469,GECO005469
GECO005470,GECO005470
GECO005471,GECO002219
GECO005472,GECO005472
GECO005473,GECO000328
GECO005474,GECO005474
GECO005475,GECO004427
GECO005476,GECO003844
GECO005477,GECO005477
GECO005478,GECO005478
GECO005479,GECO005479
GECO005480,GECO005480
GECO005481,GECO005481
GECO005482,GECO001057
GECO005483,GECO003881
GECO005484,GECO005484
GECO005485,GECO000560
GECO005486,GECO005486
GECO005487,GECO001248
GECO005488,GECO001771
GECO005489,GECO005489
GECO005490,GECO005490
GECO005491,GECO005491
GECO005492,GECO000719
GECO005493,GECO005493
GECO005494,GECO005494
GECO005495,GECO005495
GECO005496,GECO005496
GECO005497,GECO001727
GECO005498,GECO005498
GECO005499,GECO005499
GECO005500,GECO005500
GECO005501,GECO005501
GECO005502,GECO005502
GECO005503,GECO005503
GECO005504,GECO005504
GECO005505,GECO005505
GECO005506,GECO005506
GECO005507,GECO005507
GECO005508,GECO003552
GECO005509,GECO005509
GECO005510,GECO001033
GECO005511,GECO005511
GECO005512,GECO005512
GECO005513,GECO001929
GECO005514,GECO005514
GECO005515,GECO003352
GECO005516,GECO002804
GECO005517,GECO001171
GECO005518,GECO002971
GECO005519,GECO002312
GECO005520,GECO005520
GECO005521,GECO005521
GECO005522,GECO004845
GECO005523,GECO005523
GECO005524,GECO005524
GECO005525,GECO002612
GECO005526,GECO001033
GECO005527,GECO005527
GECO005528,GECO001215
GECO005529,GECO001840
GECO005530,GECO005530
GECO005531,GECO005531
GECO005532,GECO005532
GECO005533,GECO005533
GECO005534,GECO005534
GECO005535,GECO005535
GECO005536,GECO005536
GECO005537,GECO005537
GECO005538,GECO005538
GECO005539,GECO005539
GECO005540,GECO001168
GECO005541,GECO000031
GECO005542,GECO005542
GECO005543,GECO005543
GECO005544,GECO005544
GECO005545,GECO005545
GECO005546,GECO001790
GECO005547,GECO005547
GECO005548,GECO005548
GECO005549,GECO001170
GECO005550,GECO005550
GECO005551,GECO000511
GECO005552,GECO005552
GECO005553,GECO005553
GECO005554,GECO005554
GECO005555,GECO005555
GECO005556,GECO005556
GECO005557,GECO005557
GECO005558,GECO005558
GECO005559,GECO001838
GECO005560,GECO005560
GECO005561,GECO005561
GECO005562,GECO004963
GECO005563,GECO005563
GECO005564,GECO005564
GECO005565,GECO005565
GECO005566,GECO005566
GECO005567,GECO000946
GECO005568,GECO001360
GECO005569,GECO005569
GECO005570,GECO005570
GECO005571,GECO003646
GECO005572,GECO000773
GECO005573,GECO005573
GECO005574,GECO005574
GECO005575,GECO001721
GECO005576,GECO001375
GECO005577,GECO005577
GECO005578,GECO003517
GECO005579,GECO005579
GECO005580,GECO004039
GECO005581,GECO005581
GECO005582,GECO005582
GECO005583,GECO000003
GECO005584,GECO000414
GECO005585,GECO002892
GECO005586,GECO001638
GECO005587,GECO005587
GECO005588,GECO005588
GECO005589,GECO005589
GECO005590,GECO002349
GECO005591,GECO005591
GECO005592,GECO000558
GECO005593,GECO002028
GECO005594,GECO001279
GECO005595,GECO001816
GECO005596,GECO005596
GECO005597,GECO003881
GECO005598,GECO000748
GECO005599,GECO001447
GECO005600,GECO005600
GECO005601,GECO005601
GECO005602,GECO003859
GECO005603,GECO003617
GECO005604,GECO005604
GECO005605,GECO005605
GECO005606,GECO003073
GECO005607,GECO001864
GECO005608,GECO005260
GECO005609,GECO001787
GECO005610,GECO000370
GECO005611,GECO003092
GECO005612,GECO002329
GECO005613,GECO005613
GECO005614,GECO002851
GECO005615,GECO005615
GECO005616,GECO000750
GECO005617,GECO001493
GECO005618,GECO001680
GECO005619,GECO005619
GECO005620,GECO000116
GECO005621,GECO005621
GECO005622,GECO005622
GECO005623,GECO003297
GECO005624,GECO005624
GECO005625,GECO000350
GECO005626,GECO005626
GECO005627,GECO005627
GECO005628,GECO005628
GECO005629,GECO005629
GECO005630,GECO005630
GECO005631,GECO005631
GECO005632,GECO003567
GECO005633,GECO005633
GECO005634,GECO005634
GECO005635,GECO005635
GECO005636,GECO000299
GECO005637,GECO004229
GECO005638,GECO003570
GECO005639,GECO001911
GECO005640,GECO000354
GECO005641,GECO005641
GECO005642,GECO005642
GECO005643,GECO005643
GECO005644,GECO005644
GECO005645,GECO005645
GECO005646,GECO005646
GECO005647,GECO002061
GECO005648,GECO001511
GECO005649,GECO005649
GECO005650,GECO005650
GECO005651,GECO005651
GECO005652,GECO005652
GECO005653,GECO005653
GECO005654,GECO002297
GECO005655,GECO002394
GECO005656,GECO005656
GECO005657,GECO005657
